Year,Deaths,Population,Fatalities-per-100000-population
1900,36,76094000,0.047
1901,54,77584000,0.07
1902,79,79163000,0.1
1903,117,80632000,0.145
1904,172,82166000,0.209
1905,252,83822000,0.301
1906,338,85450000,0.396
1907,581,87008000,0.668
1908,751,88710000,0.847
1909,1174,90490000,1.297
1910,1599,92407000,1.73
1911,2043,93863000,2.177
1912,2968,95335000,3.113
1913,4079,97225000,4.195
1914,4468,99111000,4.508
1915,6779,100546000,6.742
1916,7766,101961000,7.617
1917,9630,103268000,9.325
1918,10390,103208000,10.067
1919,10896,104514000,10.425
1920,12155,106461000,11.417
1921,13253,108538000,12.21
1922,14859,110049000,13.502
1923,17870,111947000,15.963
1924,18400,114109000,16.125
1925,20771,115829000,17.932
1926,22194,117397000,18.905
1927,24470,119035000,20.557
1928,26557,120509000,22.037
1929,29592,121767000,24.302
1930,31204,123076741,25.353
1931,31963,124039648,25.768
1932,27979,124840471,22.412
1933,29746,125578763,23.687
1934,34240,126373773,27.094
1935,34494,127250232,27.107
1936,36126,128053180,28.212
1937,37819,128824829,29.357
1938,31083,129824939,23.942
1939,30895,130879718,23.606
1940,32914,132122446,24.912
1941,38142,133402471,28.592
1942,27007,134859553,20.026
1943,22727,136739353,16.621
1944,23165,138397345,16.738
1945,26785,139928165,19.142
1946,31874,141388566,22.544
1947,31193,144126071,21.643
1948,30775,146631302,20.988
1949,30246,149188130,20.274
1950,33186,152271417,21.794
1951,35309,154877889,22.798
1952,36088,157552740,22.905
1953,36190,160184192,22.593
1954,33890,163025854,20.788
1955,36688,165931202,22.11
1956,37965,168903031,22.477
1957,36932,171984130,21.474
1958,35331,174881904,20.203
1959,36223,177829628,20.369
1960,36399,180671158,20.147
1961,36285,183691481,19.753
1962,38980,186537737,20.897
1963,41723,189241798,22.047
1964,45645,191888791,23.787
1965,47089,194302963,24.235
1966,50894,196560338,25.892
1967,50724,198712056,25.526
1968,52725,200706052,26.27
1969,53543,202676946,26.418
1970,52627,205052174,25.665
1971,52542,207660677,25.302
1972,54589,209896021,26.008
1973,54052,211908788,25.507
1974,45196,213853928,21.134
1975,44525,215973199,20.616
1976,45523,218035164,20.879
1977,47878,220239425,21.739
1978,50331,222584545,22.612
1979,51093,225055487,22.702
1980,51091,227224681,22.485
1981,49301,229465714,21.485
1982,43945,231664458,18.969
1983,42589,233791994,18.217
1984,44257,235824902,18.767
1985,43825,237923795,18.42
1986,46087,240132887,19.192
1987,46390,242288918,19.147
1988,47087,244498982,19.259
1989,45582,246819230,18.468
1990,44599,249464396,17.878
1991,41508,252153092,16.461
1992,39250,255029699,15.39
1993,40150,257782608,15.575
1994,40716,260327021,15.6403
1995,41817,262803276,15.9119
1996,42065,265228572,15.8599
1997,42013,267783607,15.6892
1998,41501,270248003,15.3566
1999,41717,272690813,15.2983
2000,41945,282216952,14.8627
2001,42196,285226284,14.794
2002,43005,288125973,14.926
2003,42884,290796023,14.747
2004,42836,293638158,14.588
2005,43510,296507061,14.674
2006,42708,299398484,14.265
2007,41259,301139947,13.701
2008,37423,303824640,12.317
2009,33883,306700000,11.048
2010,32999,309326000,10.668
2011,32479,311588000,10.424
2012,33561,313914000,10.691
2013,32719,316129000,10.345
2014,32675,318860000,10.25
2015,35092,321370000,